category,dataset,name,source,input_bytes,lzw_units,lzss_units,structure_score,byte_entropy,window_entropy,lzw_ratio,lzss_ratio,detail
text,wikitext,sample_0078,<memory>,26,26,26,0.6101,3.9172,4.6439,1.125,1.125,"HF text, 2 lines, 26 bytes"
text,wikitext,sample_0079,<memory>,43,37,36,0.6129,3.7349,4.9161,0.968,1.0,"HF text, 2 lines, 43 bytes"
image,mnist,sample_0000,<memory>,784,182,179,0.8124,1.8285,2.3448,0.261,0.34,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0001,<memory>,784,202,196,0.7969,1.9196,2.6613,0.29,0.359,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0002,<memory>,784,167,145,0.8471,1.4551,1.9834,0.24,0.291,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0003,<memory>,784,128,137,0.8834,1.0977,1.5349,0.184,0.279,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0004,<memory>,784,172,177,0.8312,1.6095,2.1822,0.247,0.324,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0005,<memory>,784,211,214,0.7822,2.1113,2.7481,0.303,0.379,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0006,<memory>,784,113,98,0.8986,0.9435,1.3586,0.162,0.224,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0007,<memory>,784,188,172,0.7945,1.9912,2.5944,0.27,0.341,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0008,<memory>,784,105,97,0.9137,0.8069,1.1484,0.151,0.224,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0009,<memory>,784,181,179,0.8329,1.5857,2.1754,0.26,0.337,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0010,<memory>,784,164,166,0.834,1.5953,2.1204,0.235,0.326,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0011,<memory>,784,134,140,0.8812,1.156,1.4881,0.192,0.271,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0012,<memory>,784,197,195,0.7888,2.0473,2.6636,0.283,0.372,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0013,<memory>,784,200,198,0.8023,1.8776,2.5709,0.287,0.364,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0014,<memory>,784,99,90,0.9149,0.7961,1.1325,0.142,0.207,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0015,<memory>,784,169,178,0.832,1.6013,2.1743,0.243,0.343,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0016,<memory>,784,193,188,0.8117,1.8308,2.3648,0.277,0.346,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0017,<memory>,784,192,204,0.8089,1.8378,2.4411,0.276,0.361,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0018,<memory>,784,161,157,0.8538,1.3943,1.8911,0.231,0.307,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0019,<memory>,784,150,156,0.8597,1.346,1.7976,0.215,0.305,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0020,<memory>,784,184,165,0.807,1.8362,2.5045,0.264,0.337,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0021,<memory>,784,202,192,0.7918,1.9599,2.7439,0.29,0.363,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0022,<memory>,784,162,168,0.8521,1.4223,1.8869,0.232,0.318,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0023,<memory>,784,132,146,0.8818,1.1169,1.5473,0.189,0.296,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0024,<memory>,784,163,158,0.8403,1.5469,2.0174,0.234,0.31,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0025,<memory>,784,200,194,0.7781,2.155,2.7904,0.287,0.369,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0026,<memory>,784,145,139,0.8736,1.1945,1.6551,0.208,0.284,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0027,<memory>,784,181,169,0.7863,2.0881,2.6619,0.26,0.335,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0028,<memory>,784,181,184,0.7942,2.0114,2.5617,0.26,0.349,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0029,<memory>,784,144,148,0.8696,1.2506,1.6714,0.207,0.294,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0030,<memory>,784,165,168,0.8278,1.6736,2.1635,0.237,0.318,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0031,<memory>,784,175,177,0.8125,1.8045,2.391,0.251,0.334,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0032,<memory>,784,173,169,0.8405,1.5314,2.0401,0.248,0.319,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0033,<memory>,784,162,167,0.8394,1.5625,2.0131,0.232,0.321,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0034,<memory>,784,170,155,0.8197,1.6758,2.4176,0.244,0.32,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0035,<memory>,784,118,113,0.8984,0.9138,1.4224,0.169,0.25,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0036,<memory>,784,162,163,0.8312,1.6226,2.1562,0.232,0.326,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0037,<memory>,784,192,178,0.7941,1.9534,2.6813,0.276,0.359,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0038,<memory>,784,160,141,0.8402,1.5504,2.0114,0.23,0.282,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0039,<memory>,784,188,180,0.8193,1.7031,2.3762,0.27,0.344,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0040,<memory>,784,104,100,0.9055,0.88,1.2626,0.149,0.225,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0041,<memory>,784,191,198,0.8074,1.8409,2.4825,0.274,0.356,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0042,<memory>,784,127,128,0.8891,1.0556,1.4383,0.182,0.262,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0043,<memory>,784,143,139,0.87,1.2271,1.7063,0.205,0.279,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0044,<memory>,784,134,127,0.875,1.1827,1.6353,0.192,0.267,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0045,<memory>,784,179,188,0.8252,1.6622,2.2692,0.257,0.348,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0046,<memory>,784,202,200,0.8014,1.9274,2.5,0.29,0.362,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0047,<memory>,784,102,74,0.9099,0.8161,1.2509,0.146,0.197,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0048,<memory>,784,149,137,0.8604,1.3411,1.7845,0.214,0.278,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0049,<memory>,784,189,179,0.8002,1.9208,2.5509,0.271,0.346,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0050,<memory>,784,174,164,0.8357,1.6061,2.0461,0.25,0.31,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0051,<memory>,784,199,167,0.7821,2.0726,2.8283,0.286,0.334,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0052,<memory>,784,164,150,0.8322,1.5967,2.1748,0.235,0.311,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0053,<memory>,784,167,164,0.8464,1.4603,1.9944,0.24,0.317,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0054,<memory>,784,181,181,0.821,1.7104,2.3066,0.26,0.349,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0055,<memory>,784,195,197,0.7927,1.9912,2.6522,0.28,0.369,"pixels (28, 28), dtype=uint8"
