category,dataset,name,source,input_bytes,lzw_units,lzss_units,structure_score,text_repeat_frequency,byte_entropy,window_entropy,lzw_ratio,lzss_ratio,detail
text,wikitext,sample_0086,<memory>,346,233,242,0.5154,0.0,4.292,6.9233,0.758,0.921,"HF text, 2 lines, 346 bytes"
text,wikitext,sample_0087,<memory>,1084,595,601,0.5007,2.0,4.323,7.3318,0.686,0.797,"HF text, 2 lines, 1084 bytes"
text,wikitext,sample_0088,<memory>,929,529,521,0.5016,2.0,4.3131,7.3228,0.712,0.799,"HF text, 2 lines, 929 bytes"
text,wikitext,sample_0089,<memory>,690,411,391,0.5011,2.0,4.3591,7.2476,0.745,0.772,"HF text, 2 lines, 690 bytes"
text,wikitext,sample_0090,<memory>,652,401,415,0.495,2.0,4.4216,7.3175,0.769,0.86,"HF text, 2 lines, 652 bytes"
text,wikitext,sample_0091,<memory>,418,275,294,0.5005,0.0,4.44,7.1041,0.822,0.917,"HF text, 2 lines, 418 bytes"
text,wikitext,sample_0092,<memory>,366,250,247,0.4994,0.0,4.4796,7.0612,0.768,0.869,"HF text, 2 lines, 366 bytes"
text,wikitext,sample_0093,<memory>,274,205,217,0.4948,0.0,4.5088,7.1503,0.842,0.978,"HF text, 2 lines, 274 bytes"
text,wikitext,sample_0110,<memory>,504,305,304,0.519,2.0,4.2384,6.9137,0.681,0.817,"HF text, 2 lines, 504 bytes"
text,wikitext,sample_0111,<memory>,625,378,384,0.4935,0.0,4.4783,7.2523,0.756,0.831,"HF text, 2 lines, 625 bytes"
text,wikitext,sample_0117,<memory>,661,384,373,0.5078,2.0,4.3201,7.1106,0.726,0.797,"HF text, 2 lines, 661 bytes"
text,wikitext,sample_0118,<memory>,831,481,452,0.4858,2.0,4.5267,7.402,0.724,0.758,"HF text, 2 lines, 831 bytes"
text,wikitext,sample_0122,<memory>,599,371,375,0.4945,2.0,4.4583,7.2599,0.774,0.83,"HF text, 2 lines, 599 bytes"
text,wikitext,sample_0123,<memory>,358,243,239,0.5065,2.0,4.3968,6.9985,0.764,0.845,"HF text, 2 lines, 358 bytes"
